id,customer_id,timestamp,activity,revenue_impact,plan_type,activity_occurrence,activity_repeated_at
1,156,2022-05-23T08:28:22Z,customer_churn_committed,19.2,plan4,0,
2,258,2022-05-10T13:15:51Z,customer_churn_committed,32.0,plan3,0,
3,296,2022-02-15T14:03:09Z,contraction_contract_started,30.6,plan4,0,
4,215,2022-06-05T22:31:43Z,expansion_contract_started,25.9,plan4,0,
5,284,2022-09-03T20:53:59Z,new_contract_started,23.4,plan4,0,
6,269,2022-01-09T14:03:01Z,customer_churn_committed,25.2,plan3,0,
7,233,2021-11-23T16:21:49Z,new_contract_started,18.7,plan1,0,
8,11,2021-10-31T13:57:23Z,new_contract_started,22.3,plan3,0,
9,140,2022-09-15T16:16:09Z,contraction_contract_started,34.5,plan4,0,
10,32,2022-04-27T08:59:30Z,contract_amended,32.4,plan1,0,
11,23,2021-10-16T23:35:15Z,contract_amended,18.4,plan1,0,
12,141,2021-11-01T20:59:03Z,new_contract_started,13.5,plan4,0,
13,79,2022-06-22T06:26:50Z,contract_retained,29.6,plan2,0,
14,138,2022-05-06T04:32:19Z,contract_retained,27.1,plan1,0,
15,130,2021-12-10T23:45:39Z,new_contract_started,25.3,plan3,0,
16,120,2022-06-04T07:41:05Z,contraction_contract_started,11.4,plan1,0,
17,21,2022-07-20T12:31:03Z,contract_retained,24.6,plan4,0,
18,103,2021-10-24T21:29:15Z,resurrection_contract_started,10.1,plan1,0,
19,127,2021-12-20T00:05:48Z,contract_amended,31.5,plan3,0,
20,212,2022-05-22T10:46:02Z,contract_amended,18.4,plan2,0,
21,102,2021-12-28T22:46:59Z,new_contract_started,19.9,plan3,0,
22,139,2022-01-03T02:14:55Z,contract_retained,17.7,plan2,0,
23,250,2022-04-14T14:34:52Z,contract_retained,17.8,plan2,0,
24,231,2022-08-28T23:44:03Z,resurrection_contract_started,16.6,plan3,0,
25,71,2021-12-17T02:05:22Z,contract_amended,31.1,plan1,0,
26,117,2022-02-02T20:41:39Z,contract_retained,11.1,plan4,0,
27,146,2022-09-14T12:14:47Z,resurrection_contract_started,31.5,plan4,0,
28,143,2022-07-09T02:42:26Z,resurrection_contract_started,11.4,plan1,0,
29,200,2021-11-03T15:02:22Z,contraction_contract_started,18.0,plan2,0,
30,83,2022-04-01T12:30:25Z,contract_amended,32.0,plan2,0,
31,223,2022-05-28T02:17:51Z,contraction_contract_started,21.3,plan4,0,
32,15,2021-10-09T06:15:20Z,contract_retained,23.1,plan2,0,
33,97,2022-04-30T12:23:30Z,resurrection_contract_started,13.6,plan4,0,
34,17,2021-11-23T05:10:12Z,new_contract_started,16.3,plan4,0,
35,64,2021-11-14T20:53:31Z,new_contract_started,24.0,plan1,0,
36,219,2022-07-06T21:21:53Z,contract_amended,13.5,plan1,0,
37,300,2021-12-26T19:19:13Z,customer_churn_committed,13.7,plan4,0,
38,37,2022-08-24T21:43:26Z,resurrection_contract_started,20.3,plan1,0,
39,153,2022-05-11T09:05:56Z,new_contract_started,13.1,plan2,0,
40,181,2021-12-15T15:15:39Z,contract_amended,25.3,plan4,0,
41,56,2022-01-25T21:43:29Z,contraction_contract_started,18.0,plan2,0,
42,36,2022-03-12T11:19:32Z,contraction_contract_started,22.3,plan2,0,
43,144,2021-11-24T04:55:51Z,expansion_contract_started,25.4,plan3,0,
44,115,2022-05-01T14:01:24Z,resurrection_contract_started,27.8,plan1,0,
45,281,2022-02-09T22:01:43Z,expansion_contract_started,14.9,plan2,0,
46,38,2022-08-25T05:00:21Z,customer_churn_committed,34.6,plan2,0,
47,283,2022-07-14T13:38:49Z,contract_retained,13.4,plan2,0,
48,155,2022-03-02T10:06:53Z,contract_amended,25.4,plan1,0,
49,276,2022-02-26T04:35:04Z,contraction_contract_started,16.0,plan4,0,
50,228,2022-01-21T22:57:21Z,contract_retained,25.3,plan3,0,
51,288,2022-07-29T08:09:39Z,customer_churn_committed,10.8,plan2,0,
52,30,2022-03-29T21:54:49Z,expansion_contract_started,12.5,plan2,0,
53,71,2021-12-17T03:37:04Z,contract_amended,31.9,plan2,0,
54,230,2022-04-01T21:23:03Z,customer_churn_committed,25.0,plan3,0,
55,237,2022-03-16T04:29:46Z,expansion_contract_started,26.5,plan2,0,
56,278,2022-01-24T11:57:03Z,new_contract_started,21.7,plan2,0,
57,109,2021-10-12T04:06:07Z,contract_amended,19.1,plan2,0,
