id,customer_id,activity_ts,activity,revenue_impact,feature_json
1,198,2022-01-01T16:07:32Z,churned_contract,229.2,"[{""contract_id"":""2bd44b2e-1946-4ea9-bcf3-ceb4c0618031"",""subcsription_type"":""mrr""}]"
2,183,2022-01-07T12:11:37Z,churned_contract,258.5,"[{""contract_id"":""f968e0cc-37df-485d-8dc5-427933f3375d"",""subcsription_type"":""mrr""}]"
3,380,2022-02-22T16:28:13Z,churned_contract,544.0,"[{""contract_id"":""f7886f90-92bf-4205-9474-441bec53686b"",""subcsription_type"":""mrr""}]"
4,484,2022-07-05T01:22:22Z,churned_contract,124.8,"[{""contract_id"":""4960cb53-9a61-419a-a602-85536f91a930"",""subcsription_type"":""mrr""}]"
5,44,2022-06-22T08:01:14Z,churned_contract,586.2,"[{""contract_id"":""7ebb6aab-6b7b-4888-8746-1cd12a1d94c4"",""subcsription_type"":""arr""}]"
6,325,2022-11-20T00:01:31Z,churned_contract,239.2,"[{""contract_id"":""88e26c47-b2a5-4a3c-a84c-2d444656e2b7"",""subcsription_type"":""arr""}]"
7,133,2022-12-02T17:30:47Z,churned_contract,542.0,"[{""contract_id"":""9497d112-7561-4f4b-be3a-232a20edeec7"",""subcsription_type"":""mrr""}]"
8,138,2022-06-25T20:04:03Z,churned_contract,434.8,"[{""contract_id"":""d0592460-128e-4e81-aa35-11fef476bbb0"",""subcsription_type"":""mrr""}]"
9,283,2022-09-03T17:06:39Z,churned_contract,324.8,"[{""contract_id"":""232c17f9-9ad4-41dd-b80d-045f3224f8fb"",""subcsription_type"":""mrr""}]"
10,399,2022-06-19T20:47:04Z,churned_contract,126.9,"[{""contract_id"":""e4b2257a-1189-42f5-b063-af869a8b1e51"",""subcsription_type"":""mrr""}]"
11,299,2022-08-08T08:17:30Z,churned_contract,918.5,"[{""contract_id"":""77a75c88-1e86-4528-b7e9-18b77ade18dc"",""subcsription_type"":""mrr""}]"
12,245,2022-01-15T13:52:58Z,churned_contract,115.3,"[{""contract_id"":""21227b0f-d029-4f6a-99d8-e26082fe2f2c"",""subcsription_type"":""arr""}]"
13,94,2022-01-22T13:37:48Z,churned_contract,650.5,"[{""contract_id"":""dffa955d-1930-45d8-808c-6c63254eefe5"",""subcsription_type"":""arr""}]"
14,267,2022-09-11T14:55:41Z,churned_contract,595.5,"[{""contract_id"":""9f2f2793-28b7-47c2-88a9-7402c8523851"",""subcsription_type"":""arr""}]"
15,151,2022-01-31T10:18:39Z,churned_contract,753.3,"[{""contract_id"":""3f0c4684-2679-4d10-9c1e-de706e400168"",""subcsription_type"":""mrr""}]"
16,350,2022-09-08T15:30:06Z,churned_contract,640.9,"[{""contract_id"":""0cfe8caf-2f8d-46ae-8a54-0c3f943b39be"",""subcsription_type"":""mrr""}]"
17,363,2022-11-16T22:16:14Z,churned_contract,266.7,"[{""contract_id"":""6a34de87-5694-48f1-ac41-ade0382946dd"",""subcsription_type"":""mrr""}]"
18,330,2022-08-29T02:37:28Z,churned_contract,909.2,"[{""contract_id"":""462f4588-79ce-44df-bcc2-b2431c229209"",""subcsription_type"":""arr""}]"
19,327,2022-09-04T20:04:14Z,churned_contract,391.4,"[{""contract_id"":""85d9ed25-0ffd-4601-9d37-37cbc3a2e774"",""subcsription_type"":""arr""}]"
20,167,2022-03-06T14:12:07Z,churned_contract,305.4,"[{""contract_id"":""ed9ebd86-d19d-4b1c-988b-c7f9a1b429cb"",""subcsription_type"":""mrr""}]"
21,201,2022-12-15T22:44:39Z,churned_contract,228.7,"[{""contract_id"":""e5b3420c-db1d-46e1-b630-67a2cb5753f3"",""subcsription_type"":""arr""}]"
22,296,2022-01-30T23:19:02Z,churned_contract,984.4,"[{""contract_id"":""b059c5ea-8836-425d-8b16-c1de050a243e"",""subcsription_type"":""arr""}]"
23,91,2022-03-11T17:32:10Z,churned_contract,869.1,"[{""contract_id"":""f07acd93-775e-428c-9981-1f7117c0b3bf"",""subcsription_type"":""mrr""}]"
24,239,2022-05-28T13:40:42Z,churned_contract,499.4,"[{""contract_id"":""020eb6fa-fd2f-4f11-a775-f2f475781630"",""subcsription_type"":""mrr""}]"
25,315,2022-04-18T21:24:22Z,churned_contract,413.0,"[{""contract_id"":""52b9a58f-131f-4afd-b409-d55d84393153"",""subcsription_type"":""arr""}]"
26,196,2022-12-23T00:11:36Z,churned_contract,898.9,"[{""contract_id"":""42142374-35eb-4fb1-b0e1-bbe9419d7408"",""subcsription_type"":""arr""}]"
27,68,2022-12-10T09:44:05Z,churned_contract,561.8,"[{""contract_id"":""b0bab706-a501-4b0d-b389-bbbb7f93c3e7"",""subcsription_type"":""arr""}]"
28,354,2022-07-27T04:24:06Z,churned_contract,642.6,"[{""contract_id"":""07cf9677-d067-4fbd-8fb6-2e990194123c"",""subcsription_type"":""arr""}]"
29,181,2022-11-18T19:34:50Z,churned_contract,685.1,"[{""contract_id"":""f22b0d0e-df9b-49f2-9add-5a2e4acf0b52"",""subcsription_type"":""mrr""}]"
