id,customer_id,activity_ts,activity,revenue_impact,feature_json
1,282,2022-07-17T05:21:23Z,committed_to_churn,539.4,"[{""contract_id"":""a9770194-692f-4dd8-8057-b7f9840cbfff"",""subcsription_type"":""mrr""}]"
2,277,2022-04-29T11:35:02Z,committed_to_churn,954.5,"[{""contract_id"":""3f27f87f-0f4b-4127-b4af-f4956fef139c"",""subcsription_type"":""arr""}]"
3,65,2022-09-02T20:22:34Z,committed_to_churn,780.4,"[{""contract_id"":""eb72780e-2a64-480b-9751-517c0a1a0f94"",""subcsription_type"":""mrr""}]"
4,256,2022-06-10T08:02:12Z,committed_to_churn,503.6,"[{""contract_id"":""07d0abb8-3b7f-4fab-a7c3-bb537e43e2cb"",""subcsription_type"":""arr""}]"
5,280,2022-01-14T14:08:26Z,committed_to_churn,720.9,"[{""contract_id"":""5b03b7c9-572c-4c81-8057-e8e343090c3a"",""subcsription_type"":""arr""}]"
6,71,2022-01-07T06:37:30Z,committed_to_churn,438.5,"[{""contract_id"":""e815aaf5-5274-4b97-b8af-ff555a4a5202"",""subcsription_type"":""mrr""}]"
7,492,2022-10-18T01:53:06Z,committed_to_churn,980.9,"[{""contract_id"":""2875abae-8013-4426-bd62-bfdf29d21327"",""subcsription_type"":""arr""}]"
8,180,2022-02-22T16:40:40Z,committed_to_churn,219.4,"[{""contract_id"":""6556dde7-a24a-4a22-b2f6-438754633759"",""subcsription_type"":""mrr""}]"
9,182,2022-07-11T19:19:39Z,committed_to_churn,128.5,"[{""contract_id"":""ae8a32ce-9afb-4dc3-a2c4-b89cd5765eaa"",""subcsription_type"":""mrr""}]"
10,403,2022-02-19T22:56:12Z,committed_to_churn,152.7,"[{""contract_id"":""0d0d7252-e3fd-4306-862f-4f5a9ea7d6b2"",""subcsription_type"":""mrr""}]"
11,305,2022-05-05T01:33:10Z,committed_to_churn,902.3,"[{""contract_id"":""a8dad889-7bb4-45ec-985c-b9ea8f445c64"",""subcsription_type"":""mrr""}]"
12,290,2022-02-04T00:28:16Z,committed_to_churn,729.0,"[{""contract_id"":""9111d26f-7620-433a-9ecd-bc2d460e2ec9"",""subcsription_type"":""mrr""}]"
13,429,2022-02-16T12:11:39Z,committed_to_churn,513.9,"[{""contract_id"":""4b83d531-5fb5-4423-bec5-443f32070221"",""subcsription_type"":""mrr""}]"
14,321,2022-08-29T18:57:15Z,committed_to_churn,483.5,"[{""contract_id"":""c99d02f2-c06d-4da3-803c-9d2c5310623d"",""subcsription_type"":""mrr""}]"
15,57,2022-12-13T10:34:02Z,committed_to_churn,365.6,"[{""contract_id"":""9e19ab12-2a08-40d2-bbd1-931a7423afc1"",""subcsription_type"":""arr""}]"
16,486,2022-04-25T06:20:55Z,committed_to_churn,289.6,"[{""contract_id"":""00cf3cad-753b-49a8-8e98-a04814409fa6"",""subcsription_type"":""mrr""}]"
