id,customer_id,activity_ts,activity,revenue_impact,feature_json
1,419,2022-05-21T11:26:49Z,expanded_contract,676.7,"[{""contract_id"":""95ac588c-c98e-4bac-95b0-73153d45204a"",""subcsription_type"":""arr""}]"
2,208,2022-05-28T20:37:42Z,expanded_contract,412.2,"[{""contract_id"":""665a8af0-a992-4b85-a294-c2ba9e3e6203"",""subcsription_type"":""arr""}]"
3,99,2022-04-04T01:40:48Z,expanded_contract,581.3,"[{""contract_id"":""67ebe478-79bf-4ac4-a967-d0b6c073b041"",""subcsription_type"":""arr""}]"
4,413,2022-01-04T21:25:48Z,expanded_contract,362.1,"[{""contract_id"":""a7b97c29-8fdd-403b-b610-320c3d2a6e95"",""subcsription_type"":""mrr""}]"
5,444,2022-04-13T12:05:53Z,expanded_contract,865.3,"[{""contract_id"":""5cc2ea9e-e6fd-46f1-a90b-eead178acee2"",""subcsription_type"":""arr""}]"
6,98,2022-03-01T03:53:41Z,expanded_contract,665.7,"[{""contract_id"":""ebf2b7f8-4ea2-4c20-b8eb-653210157d90"",""subcsription_type"":""arr""}]"
7,204,2022-11-16T16:36:00Z,expanded_contract,357.7,"[{""contract_id"":""a6d2c586-1e0a-4821-a088-e95447484827"",""subcsription_type"":""arr""}]"
8,373,2022-05-27T19:02:51Z,expanded_contract,202.0,"[{""contract_id"":""04e9a123-6a07-43f9-935c-a64a42e0d264"",""subcsription_type"":""arr""}]"
9,184,2022-11-03T09:23:55Z,expanded_contract,660.9,"[{""contract_id"":""cc5e8d14-f6d0-4aca-a1ce-cdb7ddbf1465"",""subcsription_type"":""mrr""}]"
10,137,2022-12-22T22:07:56Z,expanded_contract,631.1,"[{""contract_id"":""f5252bc0-b676-4fc0-a0a0-0ef32125923e"",""subcsription_type"":""arr""}]"
11,321,2022-10-26T23:38:59Z,expanded_contract,646.0,"[{""contract_id"":""363ac4e5-5664-431a-9a96-b6dfa2d4529d"",""subcsription_type"":""mrr""}]"
12,308,2022-05-21T07:09:12Z,expanded_contract,227.0,"[{""contract_id"":""1523903e-66b7-4dca-9b9c-97bc5d31342f"",""subcsription_type"":""arr""}]"
13,71,2022-03-02T09:05:03Z,expanded_contract,130.4,"[{""contract_id"":""46ab7992-ba03-471d-93ec-78ce43804e7a"",""subcsription_type"":""arr""}]"
14,485,2022-02-10T20:25:07Z,expanded_contract,882.8,"[{""contract_id"":""1b3c24ca-d42c-450b-8bb0-51ba46e6cd8c"",""subcsription_type"":""mrr""}]"
15,315,2022-01-09T15:04:02Z,expanded_contract,775.6,"[{""contract_id"":""a17cd688-d8b2-4cf9-9a3b-c4bdad478c65"",""subcsription_type"":""mrr""}]"
16,113,2022-10-28T14:34:37Z,expanded_contract,611.6,"[{""contract_id"":""0d6bc445-5a1b-44b6-b319-8fd14ee5641b"",""subcsription_type"":""mrr""}]"
17,335,2022-10-26T04:26:00Z,expanded_contract,752.2,"[{""contract_id"":""ba6d6587-f091-44ad-b21c-2daf41398b6d"",""subcsription_type"":""mrr""}]"
18,68,2022-06-29T04:48:37Z,expanded_contract,655.3,"[{""contract_id"":""672e5ef4-d6b2-4599-b3b8-b48d315dfca9"",""subcsription_type"":""arr""}]"
19,230,2022-08-01T22:56:31Z,expanded_contract,499.7,"[{""contract_id"":""843537ae-806d-42f9-9c84-9e4817a2633a"",""subcsription_type"":""mrr""}]"
20,375,2022-03-21T06:50:41Z,expanded_contract,781.1,"[{""contract_id"":""52cc5a65-a8ec-47e2-9e68-8d6d2b9c81f4"",""subcsription_type"":""arr""}]"
21,34,2022-06-01T22:54:03Z,expanded_contract,678.1,"[{""contract_id"":""7fd5d773-7d2b-43ae-b27b-c3a271f8f351"",""subcsription_type"":""mrr""}]"
22,13,2022-10-02T16:16:45Z,expanded_contract,813.0,"[{""contract_id"":""5f64db71-c8d7-425a-a299-4cc17aefc784"",""subcsription_type"":""arr""}]"
23,106,2022-03-28T16:18:54Z,expanded_contract,125.8,"[{""contract_id"":""d5dbe057-d9be-4cd9-be02-bac567757a53"",""subcsription_type"":""arr""}]"
24,232,2022-10-16T06:16:40Z,expanded_contract,348.0,"[{""contract_id"":""f9fe9343-e123-4c9c-a1c9-543896657d06"",""subcsription_type"":""arr""}]"
25,394,2022-11-27T15:56:34Z,expanded_contract,357.6,"[{""contract_id"":""8001b39a-143f-445d-a0fb-ae2c8162734f"",""subcsription_type"":""arr""}]"
26,149,2022-08-20T11:48:26Z,expanded_contract,186.3,"[{""contract_id"":""32bda613-c299-4f16-92dd-11f7075b339c"",""subcsription_type"":""mrr""}]"
27,210,2022-12-01T13:36:18Z,expanded_contract,746.6,"[{""contract_id"":""25cd4b2d-2e79-4cac-be9c-18c5e0bb8c45"",""subcsription_type"":""arr""}]"
28,416,2022-05-16T02:13:26Z,expanded_contract,100.3,"[{""contract_id"":""928ac4cc-cb9c-4259-92de-748a85cd0af1"",""subcsription_type"":""mrr""}]"
29,292,2022-06-21T02:46:14Z,expanded_contract,890.7,"[{""contract_id"":""e2a2e98e-e8c3-402e-9d04-7202dfc9d7cd"",""subcsription_type"":""mrr""}]"
30,359,2022-10-24T14:34:48Z,expanded_contract,754.0,"[{""contract_id"":""10f0557b-0fd1-45b4-98b8-160cc8d9a100"",""subcsription_type"":""arr""}]"
31,14,2022-06-30T15:27:22Z,expanded_contract,431.4,"[{""contract_id"":""511571e3-0cb2-47b0-88de-cec0611867de"",""subcsription_type"":""arr""}]"
32,317,2022-06-05T22:42:40Z,expanded_contract,173.4,"[{""contract_id"":""92a229a4-21a9-4c85-856f-d8cf1e5df9c2"",""subcsription_type"":""arr""}]"
33,126,2022-12-13T18:04:57Z,expanded_contract,137.6,"[{""contract_id"":""94d1108c-c7f2-4424-84c6-786c183b4290"",""subcsription_type"":""mrr""}]"
34,456,2022-09-10T16:24:10Z,expanded_contract,367.6,"[{""contract_id"":""ff13bcba-f064-4731-9565-17c85883d53b"",""subcsription_type"":""arr""}]"
35,307,2022-04-30T18:41:51Z,expanded_contract,164.3,"[{""contract_id"":""484a8b69-4472-43e3-b56c-beff860d3245"",""subcsription_type"":""mrr""}]"
36,85,2022-06-26T03:43:26Z,expanded_contract,442.4,"[{""contract_id"":""912d51d4-4f03-48b4-b075-7c88197f8bd3"",""subcsription_type"":""mrr""}]"
