id,customer_id,activity_ts,activity,revenue_impact,feature_json
1,286,2022-06-14T13:09:52Z,incurred_overage,818.1,"[{""subscription_id"":""d459ca46-c1fd-4da9-ba1d-f5ccfcfd62a3"",""subcsription_type"":""mrr""}]"
2,398,2022-09-17T14:59:12Z,incurred_overage,452.9,"[{""subscription_id"":""20982694-2b06-4d4a-95d8-20c2fd3745bf"",""subcsription_type"":""mrr""}]"
3,24,2022-10-22T20:18:30Z,incurred_overage,926.2,"[{""subscription_id"":""1abb8247-fe7c-4879-9260-5fb1182c24ba"",""subcsription_type"":""mrr""}]"
4,20,2022-06-03T13:26:02Z,incurred_overage,305.3,"[{""subscription_id"":""8b08f4b0-a8ad-4ac1-b681-3b4f7831bf1a"",""subcsription_type"":""arr""}]"
5,29,2022-11-04T09:52:02Z,incurred_overage,296.8,"[{""subscription_id"":""f34b449b-900c-462a-a7df-334dd3e65349"",""subcsription_type"":""arr""}]"
6,172,2022-02-20T06:51:56Z,incurred_overage,899.0,"[{""subscription_id"":""9eadb88d-fcec-4f74-9a4d-64c678cedcaa"",""subcsription_type"":""mrr""}]"
7,410,2022-09-11T10:32:27Z,incurred_overage,976.3,"[{""subscription_id"":""d1f9e890-2c43-4ee5-92fd-53d1afd50663"",""subcsription_type"":""mrr""}]"
8,455,2022-01-22T02:17:52Z,incurred_overage,979.9,"[{""subscription_id"":""89566fb0-e215-4148-a9e2-40ad3cebe6a0"",""subcsription_type"":""mrr""}]"
9,320,2022-07-09T00:48:16Z,incurred_overage,500.8,"[{""subscription_id"":""eea52e04-5fda-471d-9933-227987f5312b"",""subcsription_type"":""arr""}]"
10,440,2022-01-09T06:10:53Z,incurred_overage,756.1,"[{""subscription_id"":""5b269cc9-a44a-4a4b-8e22-420af94e35a9"",""subcsription_type"":""mrr""}]"
11,369,2022-03-13T00:42:45Z,incurred_overage,411.3,"[{""subscription_id"":""0088ccb1-b2cf-4acb-ae12-fd0eda08027c"",""subcsription_type"":""mrr""}]"
12,212,2022-11-10T04:00:12Z,incurred_overage,232.9,"[{""subscription_id"":""e602f2f8-aba5-405d-9a6a-054cacd35932"",""subcsription_type"":""arr""}]"
13,279,2022-03-13T23:03:03Z,incurred_overage,851.6,"[{""subscription_id"":""bc29f108-8a10-4ba2-99a7-2c20c84dd258"",""subcsription_type"":""mrr""}]"
