id,customer_id,activity_ts,activity,revenue_impact,feature_json
1,185,2022-12-19T12:25:11Z,ordered_service,557.0,"[{""service"":""srvc1"",""service_type"":""srvctype1""}]"
2,148,2022-07-25T04:48:16Z,ordered_service,535.6,"[{""service"":""srvc5"",""service_type"":""srvctype1""}]"
3,467,2022-01-07T17:25:01Z,ordered_service,688.8,"[{""service"":""srvc3"",""service_type"":""srvctype3""}]"
4,246,2022-01-11T05:52:37Z,ordered_service,191.4,"[{""service"":""srvc4"",""service_type"":""srvctype3""}]"
5,135,2022-12-08T07:47:28Z,ordered_service,944.2,"[{""service"":""srvc3"",""service_type"":""srvctype1""}]"
6,369,2022-02-05T01:38:42Z,ordered_service,825.7,"[{""service"":""srvc1"",""service_type"":""srvctype2""}]"
7,163,2022-01-04T09:59:39Z,ordered_service,788.0,"[{""service"":""srvc2"",""service_type"":""srvctype2""}]"
8,128,2022-12-23T21:04:45Z,ordered_service,738.4,"[{""service"":""srvc1"",""service_type"":""srvctype1""}]"
9,168,2022-04-01T11:49:30Z,ordered_service,590.1,"[{""service"":""srvc1"",""service_type"":""srvctype2""}]"
10,29,2022-07-29T09:53:20Z,ordered_service,675.1,"[{""service"":""srvc5"",""service_type"":""srvctype3""}]"
11,352,2022-11-11T04:24:44Z,ordered_service,339.3,"[{""service"":""srvc3"",""service_type"":""srvctype1""}]"
12,365,2022-10-02T05:46:34Z,ordered_service,478.2,"[{""service"":""srvc4"",""service_type"":""srvctype1""}]"
13,470,2022-05-16T10:01:54Z,ordered_service,786.2,"[{""service"":""srvc3"",""service_type"":""srvctype2""}]"
14,445,2022-01-31T12:25:29Z,ordered_service,498.5,"[{""service"":""srvc3"",""service_type"":""srvctype2""}]"
15,289,2022-08-21T03:19:25Z,ordered_service,788.4,"[{""service"":""srvc1"",""service_type"":""srvctype2""}]"
16,78,2022-01-01T05:40:05Z,ordered_service,579.2,"[{""service"":""srvc5"",""service_type"":""srvctype2""}]"
17,192,2022-08-16T10:30:57Z,ordered_service,833.4,"[{""service"":""srvc2"",""service_type"":""srvctype3""}]"
18,254,2022-08-10T01:42:03Z,ordered_service,166.5,"[{""service"":""srvc5"",""service_type"":""srvctype1""}]"
19,199,2022-12-30T11:39:08Z,ordered_service,853.4,"[{""service"":""srvc4"",""service_type"":""srvctype1""}]"
20,21,2022-06-22T21:45:48Z,ordered_service,271.1,"[{""service"":""srvc4"",""service_type"":""srvctype2""}]"
21,150,2022-03-19T20:57:57Z,ordered_service,425.5,"[{""service"":""srvc1"",""service_type"":""srvctype2""}]"
22,142,2022-09-16T12:32:23Z,ordered_service,141.2,"[{""service"":""srvc4"",""service_type"":""srvctype2""}]"
23,449,2022-08-16T07:19:01Z,ordered_service,715.1,"[{""service"":""srvc4"",""service_type"":""srvctype2""}]"
24,266,2022-06-21T19:59:10Z,ordered_service,428.9,"[{""service"":""srvc5"",""service_type"":""srvctype3""}]"
25,342,2022-09-16T03:44:23Z,ordered_service,842.7,"[{""service"":""srvc3"",""service_type"":""srvctype2""}]"
26,477,2022-10-25T21:05:59Z,ordered_service,306.3,"[{""service"":""srvc4"",""service_type"":""srvctype1""}]"
27,405,2022-10-09T04:13:16Z,ordered_service,695.9,"[{""service"":""srvc5"",""service_type"":""srvctype1""}]"
28,233,2022-09-29T04:22:17Z,ordered_service,468.9,"[{""service"":""srvc1"",""service_type"":""srvctype3""}]"
29,296,2022-10-11T16:26:28Z,ordered_service,746.0,"[{""service"":""srvc2"",""service_type"":""srvctype2""}]"
30,195,2022-06-30T16:35:24Z,ordered_service,220.1,"[{""service"":""srvc4"",""service_type"":""srvctype2""}]"
31,20,2022-03-10T13:02:14Z,ordered_service,933.1,"[{""service"":""srvc2"",""service_type"":""srvctype1""}]"
32,141,2022-12-31T16:16:15Z,ordered_service,403.0,"[{""service"":""srvc1"",""service_type"":""srvctype3""}]"
33,446,2022-03-31T23:34:12Z,ordered_service,752.5,"[{""service"":""srvc2"",""service_type"":""srvctype1""}]"
34,83,2022-08-30T09:09:41Z,ordered_service,640.6,"[{""service"":""srvc5"",""service_type"":""srvctype1""}]"
35,327,2022-04-16T13:08:14Z,ordered_service,421.0,"[{""service"":""srvc4"",""service_type"":""srvctype2""}]"
36,133,2022-08-18T04:16:19Z,ordered_service,699.2,"[{""service"":""srvc1"",""service_type"":""srvctype3""}]"
37,42,2022-06-15T16:02:01Z,ordered_service,264.8,"[{""service"":""srvc2"",""service_type"":""srvctype2""}]"
38,64,2022-09-20T08:46:13Z,ordered_service,983.0,"[{""service"":""srvc3"",""service_type"":""srvctype2""}]"
39,226,2022-04-06T10:01:49Z,ordered_service,664.1,"[{""service"":""srvc2"",""service_type"":""srvctype3""}]"
40,351,2022-01-03T01:59:42Z,ordered_service,719.3,"[{""service"":""srvc5"",""service_type"":""srvctype3""}]"
41,35,2022-10-04T01:40:20Z,ordered_service,826.2,"[{""service"":""srvc4"",""service_type"":""srvctype3""}]"
42,171,2022-03-07T21:27:58Z,ordered_service,559.6,"[{""service"":""srvc2"",""service_type"":""srvctype3""}]"
43,201,2022-03-24T08:42:26Z,ordered_service,479.6,"[{""service"":""srvc1"",""service_type"":""srvctype2""}]"
44,319,2022-11-10T03:52:55Z,ordered_service,210.4,"[{""service"":""srvc2"",""service_type"":""srvctype1""}]"
45,184,2022-11-07T14:10:45Z,ordered_service,506.1,"[{""service"":""srvc5"",""service_type"":""srvctype1""}]"
46,4,2022-10-19T17:23:25Z,ordered_service,655.8,"[{""service"":""srvc3"",""service_type"":""srvctype2""}]"
47,232,2022-03-01T12:05:58Z,ordered_service,397.6,"[{""service"":""srvc5"",""service_type"":""srvctype2""}]"
48,293,2022-08-25T15:33:53Z,ordered_service,939.5,"[{""service"":""srvc4"",""service_type"":""srvctype3""}]"
49,268,2022-02-23T01:43:53Z,ordered_service,689.1,"[{""service"":""srvc2"",""service_type"":""srvctype2""}]"
50,274,2022-05-27T08:09:43Z,ordered_service,200.3,"[{""service"":""srvc2"",""service_type"":""srvctype1""}]"
51,186,2022-02-11T22:34:18Z,ordered_service,465.8,"[{""service"":""srvc3"",""service_type"":""srvctype3""}]"
52,225,2022-06-02T16:51:28Z,ordered_service,422.4,"[{""service"":""srvc1"",""service_type"":""srvctype2""}]"
53,121,2022-09-25T18:00:22Z,ordered_service,111.7,"[{""service"":""srvc3"",""service_type"":""srvctype2""}]"
54,218,2022-05-07T13:29:46Z,ordered_service,909.6,"[{""service"":""srvc3"",""service_type"":""srvctype2""}]"
55,150,2022-03-29T10:14:45Z,ordered_service,427.9,"[{""service"":""srvc5"",""service_type"":""srvctype1""}]"
56,470,2022-05-05T20:45:13Z,ordered_service,206.0,"[{""service"":""srvc4"",""service_type"":""srvctype3""}]"
57,148,2022-05-02T10:28:37Z,ordered_service,759.1,"[{""service"":""srvc4"",""service_type"":""srvctype1""}]"
58,66,2022-06-16T14:12:45Z,ordered_service,155.7,"[{""service"":""srvc4"",""service_type"":""srvctype2""}]"
59,113,2022-02-23T14:22:17Z,ordered_service,715.8,"[{""service"":""srvc2"",""service_type"":""srvctype3""}]"
60,82,2022-10-12T11:14:53Z,ordered_service,782.0,"[{""service"":""srvc2"",""service_type"":""srvctype2""}]"
61,321,2022-06-05T10:44:23Z,ordered_service,208.3,"[{""service"":""srvc4"",""service_type"":""srvctype1""}]"
62,292,2022-01-08T09:09:20Z,ordered_service,911.3,"[{""service"":""srvc5"",""service_type"":""srvctype3""}]"
63,55,2022-02-14T14:31:55Z,ordered_service,523.8,"[{""service"":""srvc1"",""service_type"":""srvctype1""}]"
64,349,2022-03-13T01:13:46Z,ordered_service,821.9,"[{""service"":""srvc1"",""service_type"":""srvctype3""}]"
65,231,2022-04-10T00:13:14Z,ordered_service,800.1,"[{""service"":""srvc3"",""service_type"":""srvctype2""}]"
66,281,2022-04-12T03:22:35Z,ordered_service,653.4,"[{""service"":""srvc1"",""service_type"":""srvctype2""}]"
67,98,2022-11-13T19:19:16Z,ordered_service,507.1,"[{""service"":""srvc3"",""service_type"":""srvctype1""}]"
68,180,2022-09-17T18:13:39Z,ordered_service,347.5,"[{""service"":""srvc5"",""service_type"":""srvctype2""}]"
69,490,2022-06-07T16:11:03Z,ordered_service,627.4,"[{""service"":""srvc4"",""service_type"":""srvctype1""}]"
70,95,2022-06-03T08:43:36Z,ordered_service,147.7,"[{""service"":""srvc4"",""service_type"":""srvctype3""}]"
71,380,2022-06-28T12:43:24Z,ordered_service,217.7,"[{""service"":""srvc4"",""service_type"":""srvctype3""}]"
72,87,2022-05-31T01:18:50Z,ordered_service,986.2,"[{""service"":""srvc4"",""service_type"":""srvctype1""}]"
73,398,2022-02-20T21:34:27Z,ordered_service,332.7,"[{""service"":""srvc4"",""service_type"":""srvctype2""}]"
74,309,2022-12-22T07:43:20Z,ordered_service,321.7,"[{""service"":""srvc4"",""service_type"":""srvctype2""}]"
75,157,2022-05-14T06:51:47Z,ordered_service,909.4,"[{""service"":""srvc2"",""service_type"":""srvctype2""}]"
76,135,2022-07-07T01:39:08Z,ordered_service,191.0,"[{""service"":""srvc1"",""service_type"":""srvctype2""}]"
