id,customer_id,activity_ts,activity,revenue_impact,feature_json
1,483,2022-07-06T09:52:20Z,paid_subscription,454.1,"[{""subscription_id"":""c6e2cfaf-30b4-4324-ac7e-8bb2a5616f43"",""subcsription_type"":""mrr""}]"
2,458,2022-07-29T06:14:55Z,paid_subscription,561.2,"[{""subscription_id"":""8cca965d-ae64-4202-b293-3bcacb216a57"",""subcsription_type"":""mrr""}]"
3,187,2022-01-03T16:41:46Z,paid_subscription,763.3,"[{""subscription_id"":""0614bc92-cb9a-4ddb-aab8-3578398091f3"",""subcsription_type"":""arr""}]"
4,350,2022-08-15T08:01:58Z,paid_subscription,607.8,"[{""subscription_id"":""ca9f8786-1c51-49e9-a4b3-0ab14622851b"",""subcsription_type"":""mrr""}]"
5,63,2022-06-18T08:17:27Z,paid_subscription,845.3,"[{""subscription_id"":""6a30676e-a27a-4fa1-a9a3-dece36c6344c"",""subcsription_type"":""arr""}]"
6,258,2022-02-05T23:50:37Z,paid_subscription,249.1,"[{""subscription_id"":""1e94c95a-28a7-48fe-ac2f-fcd084c07779"",""subcsription_type"":""arr""}]"
7,428,2022-02-04T23:28:17Z,paid_subscription,189.7,"[{""subscription_id"":""ecbb68e0-05cc-40cc-bf1e-48ef769ae709"",""subcsription_type"":""arr""}]"
8,190,2022-05-13T11:09:56Z,paid_subscription,873.3,"[{""subscription_id"":""45c5c1ef-002f-461a-a606-82327f6f36e9"",""subcsription_type"":""arr""}]"
9,401,2022-08-20T10:01:29Z,paid_subscription,352.6,"[{""subscription_id"":""b8c9c348-3768-44d9-a969-0ecb8ccafb59"",""subcsription_type"":""arr""}]"
10,406,2022-02-06T22:32:21Z,paid_subscription,221.6,"[{""subscription_id"":""f7458fc1-e539-412f-a4d2-736c5bb617e9"",""subcsription_type"":""arr""}]"
11,380,2022-02-14T03:24:04Z,paid_subscription,543.8,"[{""subscription_id"":""436306cc-a0b3-4676-b6ed-97bf8cee7ac7"",""subcsription_type"":""arr""}]"
12,279,2022-05-30T03:54:54Z,paid_subscription,288.7,"[{""subscription_id"":""a535a68f-870a-483f-9db2-c8b635a09f0a"",""subcsription_type"":""mrr""}]"
13,246,2022-05-28T04:01:03Z,paid_subscription,899.1,"[{""subscription_id"":""cb63a998-dfaf-4cac-9c1b-6ac8f8a1f133"",""subcsription_type"":""mrr""}]"
14,347,2022-10-06T18:42:17Z,paid_subscription,169.1,"[{""subscription_id"":""93095130-da17-46c2-a6b6-d4beb877c891"",""subcsription_type"":""mrr""}]"
15,1,2022-01-02T22:12:23Z,paid_subscription,964.5,"[{""subscription_id"":""bbc1f0ed-6620-4a5e-ab5b-24c6b70f170a"",""subcsription_type"":""arr""}]"
16,211,2022-03-21T20:37:55Z,paid_subscription,945.3,"[{""subscription_id"":""09d816cd-3949-4d1d-8306-12a0a76fa832"",""subcsription_type"":""mrr""}]"
17,42,2022-03-23T11:01:43Z,paid_subscription,288.2,"[{""subscription_id"":""f9ad91bb-a53d-41b0-8f4c-5c2808d6937c"",""subcsription_type"":""mrr""}]"
18,448,2022-06-12T22:14:59Z,paid_subscription,387.8,"[{""subscription_id"":""4d57dbd8-7f4b-4984-b86c-47701f75e97a"",""subcsription_type"":""arr""}]"
19,320,2022-06-29T00:34:34Z,paid_subscription,558.4,"[{""subscription_id"":""df7eb914-03de-42f9-968d-ab64c43fefa4"",""subcsription_type"":""arr""}]"
20,288,2022-05-17T08:29:04Z,paid_subscription,165.0,"[{""subscription_id"":""c3ea1568-53b4-4262-b36a-122e82a48544"",""subcsription_type"":""mrr""}]"
21,65,2022-02-07T19:52:32Z,paid_subscription,591.4,"[{""subscription_id"":""4ba5dd93-9a23-45fb-8b40-362757803592"",""subcsription_type"":""arr""}]"
22,91,2022-01-07T07:21:54Z,paid_subscription,154.9,"[{""subscription_id"":""0327bd01-6fbb-4126-884f-7f424647eb9f"",""subcsription_type"":""mrr""}]"
23,195,2022-06-06T02:11:04Z,paid_subscription,427.0,"[{""subscription_id"":""bedfbd4f-c57f-4c09-b4ad-ad0d19801376"",""subcsription_type"":""arr""}]"
24,188,2022-01-26T14:01:42Z,paid_subscription,272.3,"[{""subscription_id"":""b7b47ae0-1462-48e4-acff-be079a1f1621"",""subcsription_type"":""arr""}]"
25,119,2022-08-06T14:06:41Z,paid_subscription,305.0,"[{""subscription_id"":""6e25924d-e6c7-4166-9180-53f0f4d0b1c9"",""subcsription_type"":""arr""}]"
26,427,2022-03-05T12:12:48Z,paid_subscription,467.7,"[{""subscription_id"":""e9e606e9-6864-41ce-8aa2-40668f6be2e2"",""subcsription_type"":""arr""}]"
27,233,2022-10-21T16:41:57Z,paid_subscription,878.8,"[{""subscription_id"":""ef0ab514-834d-49cc-890f-1bac488e4ee3"",""subcsription_type"":""mrr""}]"
28,80,2022-04-03T07:04:25Z,paid_subscription,126.3,"[{""subscription_id"":""3ead6620-9d1b-44c7-9deb-e0d045a30b3a"",""subcsription_type"":""mrr""}]"
29,265,2022-03-27T07:37:30Z,paid_subscription,519.8,"[{""subscription_id"":""a3a1acfa-4b74-4a11-9a57-31c770db202a"",""subcsription_type"":""arr""}]"
30,468,2022-08-27T07:33:57Z,paid_subscription,877.1,"[{""subscription_id"":""5f724ddd-72c6-4899-badf-9a2be117cfb6"",""subcsription_type"":""mrr""}]"
31,291,2022-06-17T01:09:11Z,paid_subscription,712.5,"[{""subscription_id"":""82cace72-e1c8-4817-870a-8a5749ea7932"",""subcsription_type"":""arr""}]"
