id,customer_id,activity_ts,activity,revenue_impact,feature_json
1,472,2022-02-17T22:06:39Z,started_subscription,386.7,"[{""subscription_id"":""a930ccc9-202e-4a6c-b04d-09ffa532dd76"",""subcsription_type"":""arr""}]"
2,85,2022-09-01T09:05:59Z,started_subscription,596.4,"[{""subscription_id"":""8c54842f-c544-42df-8da9-70ce1fdd5546"",""subcsription_type"":""arr""}]"
3,120,2022-01-11T07:31:07Z,started_subscription,165.2,"[{""subscription_id"":""0a386df5-24e5-4185-83ff-57ebc7f88d26"",""subcsription_type"":""arr""}]"
4,422,2022-10-11T23:14:11Z,started_subscription,542.3,"[{""subscription_id"":""3a70235a-5072-41e4-b231-1905ef039d32"",""subcsription_type"":""mrr""}]"
5,10,2022-09-16T00:49:13Z,started_subscription,196.3,"[{""subscription_id"":""896ba6a6-47b1-4c00-877a-999fc496613e"",""subcsription_type"":""arr""}]"
6,83,2022-06-16T04:52:00Z,started_subscription,724.4,"[{""subscription_id"":""a06a5f45-fd8d-44a6-8ce2-9cdc4f2ff001"",""subcsription_type"":""mrr""}]"
7,218,2022-09-06T18:54:21Z,started_subscription,183.4,"[{""subscription_id"":""4bf15ef9-b362-4719-9fea-11eaddc5a375"",""subcsription_type"":""arr""}]"
8,388,2022-08-30T19:26:57Z,started_subscription,414.2,"[{""subscription_id"":""91eb0b9a-bced-423b-b6aa-ec81cbfed607"",""subcsription_type"":""arr""}]"
9,414,2022-12-17T12:15:34Z,started_subscription,213.8,"[{""subscription_id"":""ab61e4d2-d8e6-46ec-b6d7-f5e4c8de4bf9"",""subcsription_type"":""arr""}]"
10,80,2022-08-17T23:41:33Z,started_subscription,351.5,"[{""subscription_id"":""2b5031d7-1634-4f0b-afb0-b3e30d3552d2"",""subcsription_type"":""mrr""}]"
11,417,2022-08-16T09:06:03Z,started_subscription,116.0,"[{""subscription_id"":""598ca20f-8830-44d1-8510-0c8ec57a0055"",""subcsription_type"":""arr""}]"
12,352,2022-11-08T18:03:04Z,started_subscription,197.0,"[{""subscription_id"":""e93bda0a-8c73-4066-8024-615a017779dc"",""subcsription_type"":""mrr""}]"
13,339,2022-10-11T03:25:25Z,started_subscription,233.1,"[{""subscription_id"":""de949ed2-65f7-4b58-94f2-0190eb43d4f2"",""subcsription_type"":""arr""}]"
14,47,2022-11-04T01:23:58Z,started_subscription,590.6,"[{""subscription_id"":""1bbf3127-66d2-4267-baef-af46602bbc86"",""subcsription_type"":""mrr""}]"
15,76,2022-05-19T07:32:28Z,started_subscription,978.0,"[{""subscription_id"":""26c1e479-546d-471d-94c3-1b74c6925e7d"",""subcsription_type"":""arr""}]"
16,466,2022-08-16T17:06:54Z,started_subscription,520.2,"[{""subscription_id"":""24bb9252-6173-4608-8693-be5915252965"",""subcsription_type"":""mrr""}]"
17,4,2022-11-02T10:04:03Z,started_subscription,140.0,"[{""subscription_id"":""7fe4c944-4a31-45fb-a816-5b29850a3dec"",""subcsription_type"":""mrr""}]"
18,474,2022-07-27T06:54:49Z,started_subscription,432.0,"[{""subscription_id"":""25bc2307-4223-490d-b7d0-77bba819c8fa"",""subcsription_type"":""arr""}]"
19,357,2022-10-29T07:58:05Z,started_subscription,529.1,"[{""subscription_id"":""fe2b863d-5e83-45f6-a18f-6754709119e3"",""subcsription_type"":""mrr""}]"
20,2,2022-01-24T16:39:28Z,started_subscription,326.3,"[{""subscription_id"":""a36dad0f-e13f-4548-a2dc-7e150448e0ab"",""subcsription_type"":""arr""}]"
21,441,2022-11-05T01:21:45Z,started_subscription,949.1,"[{""subscription_id"":""1eedb4d3-f5de-4756-9892-00b2d081e39e"",""subcsription_type"":""arr""}]"
22,478,2022-08-01T02:57:08Z,started_subscription,109.9,"[{""subscription_id"":""0de18747-ab22-492c-a1e4-4159aa1266c9"",""subcsription_type"":""mrr""}]"
23,276,2022-07-25T18:40:34Z,started_subscription,358.6,"[{""subscription_id"":""18187fa5-6258-40fe-904c-96efd6612562"",""subcsription_type"":""mrr""}]"
24,88,2022-07-16T08:13:56Z,started_subscription,491.7,"[{""subscription_id"":""65c17568-6a3c-4913-bfe3-a823ec467843"",""subcsription_type"":""arr""}]"
25,451,2022-04-12T23:17:53Z,started_subscription,923.1,"[{""subscription_id"":""8d5505c8-3533-4d68-bb7c-79d8d0d4e9ce"",""subcsription_type"":""mrr""}]"
26,460,2022-05-18T00:46:58Z,started_subscription,739.9,"[{""subscription_id"":""32893dbf-0fa3-4e92-96ce-1418b7d93524"",""subcsription_type"":""mrr""}]"
27,92,2022-06-15T18:22:55Z,started_subscription,490.1,"[{""subscription_id"":""1f75d774-add7-4ea6-b353-24adb8dab0b6"",""subcsription_type"":""arr""}]"
28,461,2022-12-01T10:16:54Z,started_subscription,203.8,"[{""subscription_id"":""6d6c4059-eb6f-4c5b-af10-3488f3802c34"",""subcsription_type"":""arr""}]"
29,147,2022-03-02T21:27:08Z,started_subscription,327.8,"[{""subscription_id"":""d83e9879-9211-41da-8769-d39d0c11c634"",""subcsription_type"":""arr""}]"
30,247,2022-04-18T20:01:38Z,started_subscription,333.6,"[{""subscription_id"":""b8798e41-47f1-4063-8be9-771c0556fef9"",""subcsription_type"":""arr""}]"
31,354,2022-11-30T22:42:45Z,started_subscription,848.5,"[{""subscription_id"":""1603c3ad-9460-409f-b001-6578fa82d966"",""subcsription_type"":""arr""}]"
32,115,2022-08-28T22:58:28Z,started_subscription,769.3,"[{""subscription_id"":""b482211f-3f1c-4230-b2cd-33f0787e0854"",""subcsription_type"":""arr""}]"
33,350,2022-08-04T14:53:19Z,started_subscription,634.1,"[{""subscription_id"":""f3b50b28-82c7-4660-906f-1b7714fc8549"",""subcsription_type"":""arr""}]"
34,335,2022-11-12T22:55:10Z,started_subscription,754.5,"[{""subscription_id"":""fdb4707e-e783-43de-a283-128ba1fab411"",""subcsription_type"":""mrr""}]"
35,144,2022-12-31T03:56:35Z,started_subscription,280.0,"[{""subscription_id"":""8f49de8b-fe60-4b1f-b54b-3595470eed7b"",""subcsription_type"":""arr""}]"
36,171,2022-11-04T15:17:13Z,started_subscription,654.5,"[{""subscription_id"":""c118e728-e59a-4d1a-b4df-8eadcc4d50e2"",""subcsription_type"":""arr""}]"
37,157,2022-11-28T18:25:25Z,started_subscription,617.6,"[{""subscription_id"":""54593303-6147-4d40-93c1-ce5be95e7cef"",""subcsription_type"":""mrr""}]"
38,494,2022-01-09T22:08:24Z,started_subscription,131.4,"[{""subscription_id"":""d5d04ef1-30ce-4e42-81b0-b832ec7af759"",""subcsription_type"":""arr""}]"
39,122,2022-06-23T16:38:35Z,started_subscription,929.1,"[{""subscription_id"":""9dae4b39-65ef-4ffd-b487-642020e2a175"",""subcsription_type"":""arr""}]"
40,30,2022-12-02T11:09:43Z,started_subscription,522.6,"[{""subscription_id"":""6fda0a56-2071-49a4-bc5a-69a18e9d3a78"",""subcsription_type"":""arr""}]"
41,313,2022-01-27T16:51:36Z,started_subscription,863.4,"[{""subscription_id"":""904b0027-f431-48c8-9ef2-211cdc46cf22"",""subcsription_type"":""arr""}]"
42,126,2022-01-27T06:06:01Z,started_subscription,117.6,"[{""subscription_id"":""cc481faf-f970-45d8-a505-3d730b991316"",""subcsription_type"":""mrr""}]"
43,34,2022-01-06T06:57:40Z,started_subscription,785.3,"[{""subscription_id"":""362e0728-a19d-49f6-9469-6018e7b38c1e"",""subcsription_type"":""mrr""}]"
44,231,2022-07-14T07:40:03Z,started_subscription,214.9,"[{""subscription_id"":""199d327f-e8d6-41fa-9ad3-9704da294bc3"",""subcsription_type"":""arr""}]"
